title,slug,active_installs,relevance
Advanced Custom Fields,advanced-custom-fields,1000000,0
Pods &#8211; Custom Content Types and Fields,pods,70000,0
Meta Box &#8211; WordPress Custom Fields Framework,meta-box,400000,0
Advanced Custom Fields: Font Awesome Field,advanced-custom-fields-font-awesome,60000,0
Custom Field Suite,custom-field-suite,40000,0
Advanced Custom Fields: Table Field,advanced-custom-fields-table-field,30000,0
Advanced Custom Fields: Extended,acf-extended,300,0
Custom Post Types and Custom Fields creator &#8211; WCK,wck-custom-fields-and-custom-post-types-creator,20000,0
Get Custom Field Values,get-custom-field-values,5000,0
Custom Field Template,custom-field-template,80000,0
BuddyPress Xprofile Custom Field Types,bp-xprofile-custom-field-types,2000,0
Just Custom Fields,just-custom-fields,3000,0
Custom Field Bulk Editor,custom-field-bulk-editor,4000,0
Woocommerce Product Addons,woo-custom-product-addons,7000,0
Checkout Field Editor (Checkout Manager) for WooCommerce,woo-checkout-field-editor-pro,100000,0
Custom Fields for Gutenberg,custom-fields-gutenberg,1000,0
Smart Custom Fields,smart-custom-fields,20000,0
Advanced Custom Fields : CPT Options Pages,acf-cpt-options-pages,2000,0
Custom Fields Display,custom-fields-display,600,0
Ajax Load More for Advanced Custom Fields,ajax-load-more-for-acf,1000,0
Ninja Forms &#8211; The Easy and Powerful Forms Builder,ninja-forms,1000000,0
Custom Fields WooCommerce Checkout Page,woo-checkout-regsiter-field-editor,1000,0
Advanced Custom Fields: Typography Field,acf-typography-field,200,0
WooCommerce PPOM,woocommerce-product-addon,10000,0
Woocommerce Custom Fields For Variation,woo-custom-fields-for-variation,1000,0
Product Feed PRO for WooCommerce,woo-product-feed-pro,10000,0
Advanced Custom Fields: Restrict Color Picker Options,acf-restrict-color-picker,600,0
RegistrationMagic &#8211; Custom Registration Forms and User Login,custom-registration-form-builder-with-submission-manager,10000,0
Advanced Custom Fields: Image Aspect Ratio Crop Field,acf-image-aspect-ratio-crop,1000,0
Custom Fields Permalink 2,custom-fields-permalink-redux,400,0
CMB2,cmb2,200000,0
Strong Testimonials,strong-testimonials,80000,0
Advanced Order Export For WooCommerce,woo-order-export-lite,60000,0
Better Notifications for WordPress,bnfw,20000,0
WP e-Commerce &#8211; Custom Fields,wp-e-commerce-custom-fields,400,0
Comments &#8211; wpDiscuz,wpdiscuz,50000,0
Simple Custom post type custom field,simple-content-construction-kit,300,0
Advanced Custom Fields: reCAPTCHA Field,advanced-custom-fields-recaptcha-field,1000,0
ACF Theme Code for Advanced Custom Fields,acf-theme-code,9000,0
Custom Field List Widget,custom-field-list-widget,400,0
Events Made Easy,events-made-easy,8000,0
Admin Columns,codepress-admin-columns,100000,0
WP User Manager &#8211; User Profile Builder &amp; Membership,wp-user-manager,8000,0
Flexible Checkout Fields for WooCommerce,flexible-checkout-fields,10000,0
Embed Custom Field,embed-custom-field,100,0
WordPress Infinite Scroll &#8211; Ajax Load More,ajax-load-more,50000,0
WP Custom Fields Search,wp-custom-fields-search,5000,0
Import any XML or CSV File to WordPress,wp-all-import,100000,0
Product Catalog,ultimate-product-catalogue,10000,0
