title,slug,my_score,weighted,active_installs,weighted,relevance,weighted,review_count,weighted,avg_rating
WooCommerce,woocommerce,27.91,15.2,4000000,0,0,8.11,3325,4.6,4.6
Contact Form by WPForms &#8211; Drag &amp; Drop Form Builder for WordPress,wpforms-lite,27.83,14.51,2000000,0,0,8.42,4551,4.9,4.9
Elementor Page Builder,elementor,27.51,14.51,2000000,0,0,8.2,3656,4.8,4.8
Shortcodes Ultimate,shortcodes-ultimate,27.01,13.59,800000,0,0,8.52,4997,4.9,4.9
TablePress,tablepress,26.77,13.59,800000,0,0,8.18,3555,5.0,5.0
Custom Feeds for Instagram,instagram-feed,26.25,13.59,800000,0,0,7.76,2348,4.9,4.9
Google Analytics Dashboard Plugin for WordPress by MonsterInsights,google-analytics-for-wordpress,25.93,14.51,2000000,0,0,7.02,1121,4.4,4.4
Advanced Custom Fields,advanced-custom-fields,25.68,13.82,1000000,0,0,6.97,1059,4.9,4.9
Mailchimp for WordPress,mailchimp-for-wp,25.66,13.82,1000000,0,0,7.05,1148,4.8,4.8
"Popup Maker &#8211; Popup Forms, Optins &amp; More",popup-maker,25.57,12.61,300000,0,0,8.06,3156,4.9,4.9
Page Builder by SiteOrigin,siteorigin-panels,25.47,13.82,1000000,0,0,6.86,949,4.8,4.8
WP Google Maps,wp-google-maps,25.14,12.9,400000,0,0,7.54,1879,4.7,4.7
Ninja Forms &#8211; The Easy and Powerful Forms Builder,ninja-forms,25.12,13.82,1000000,0,0,6.9,994,4.4,4.4
Polylang,polylang,24.78,13.12,500000,0,0,6.96,1049,4.7,4.7
WPS Hide Login,wps-hide-login,24.77,12.9,400000,0,0,6.98,1070,4.9,4.9
MetaSlider,ml-slider,24.7,13.71,900000,0,0,6.29,538,4.7,4.7
AddToAny Share Buttons,add-to-any,24.54,13.12,500000,0,0,6.72,829,4.7,4.7
Smart Slider 3,smart-slider-3,24.32,12.9,400000,0,0,6.52,677,4.9,4.9
Redirection,redirection,24.25,13.82,1000000,0,0,6.14,462,4.3,4.3
Google Analytics Dashboard for WP by ExactMetrics (formerly GADWP),google-analytics-dashboard-for-wp,24.09,13.82,1000000,0,0,5.98,394,4.3,4.3
Ad Inserter &#8211; Ad Manager &amp; AdSense Ads,ad-inserter,24.05,12.21,200000,0,0,6.94,1035,4.9,4.9
Custom Feeds for Facebook,custom-facebook-feed,24.05,12.21,200000,0,0,7.04,1143,4.8,4.8
Newsletter,newsletter,23.92,12.61,300000,0,0,6.71,820,4.6,4.6
Better Search Replace,better-search-replace,23.85,13.46,700000,0,0,5.79,328,4.6,4.6
WordPress Importer,wordpress-importer,23.84,15.2,4000000,0,0,5.64,281,3.0,3.0
Custom Sidebars &#8211; Dynamic Widget Area Manager,custom-sidebars,23.82,12.21,200000,0,0,6.91,1002,4.7,4.7
Disable Gutenberg,disable-gutenberg,23.65,12.61,300000,0,0,6.04,421,5.0,5.0
Broken Link Checker,broken-link-checker,23.53,13.46,700000,0,0,5.87,354,4.2,4.2
SiteOrigin Widgets Bundle,so-widgets-bundle,23.49,13.82,1000000,0,0,4.77,118,4.9,4.9
Admin Columns,codepress-admin-columns,23.45,11.51,100000,0,0,7.03,1135,4.9,4.9
Custom Post Type UI,custom-post-type-ui,23.44,13.46,700000,0,0,5.28,196,4.7,4.7
Redux Framework,redux-framework,23.4,13.59,800000,0,0,5.2,182,4.6,4.6
Widget Options,widget-options,23.38,11.41,90000,0,0,7.07,1176,4.9,4.9
Essential Addons for Elementor,essential-addons-for-elementor-lite,23.35,12.21,200000,0,0,6.34,567,4.8,4.8
Import any XML or CSV File to WordPress,wp-all-import,23.34,11.51,100000,0,0,7.13,1249,4.7,4.7
