title,slug,my_score,weighted,active_installs,weighted,relevance,weighted,review_count,weighted,avg_rating
WooCommerce,woocommerce,27.909999999999997,15.2,4000000,0,0,8.11,3325,4.6,4.6
Contact Form by WPForms &#8211; Drag &amp; Drop Form Builder for WordPress,wpforms-lite,27.83,14.51,2000000,0,0,8.42,4551,4.9,4.9
Elementor Page Builder,elementor,27.51,14.51,2000000,0,0,8.2,3656,4.8,4.8
Shortcodes Ultimate,shortcodes-ultimate,27.009999999999998,13.59,800000,0,0,8.52,4997,4.9,4.9
TablePress,tablepress,26.77,13.59,800000,0,0,8.18,3555,5.0,5.0
Custom Feeds for Instagram,instagram-feed,26.25,13.59,800000,0,0,7.76,2348,4.9,4.9
Advanced Custom Fields,advanced-custom-fields,25.689999999999998,13.82,1000000,0,0,6.97,1059,4.9,4.9
Mailchimp for WordPress,mailchimp-for-wp,25.67,13.82,1000000,0,0,7.05,1148,4.8,4.8
"Popup Maker &#8211; Popup Forms, Optins &amp; More",popup-maker,25.57,12.61,300000,0,0,8.06,3156,4.9,4.9
WP Google Maps,wp-google-maps,25.14,12.9,400000,0,0,7.54,1879,4.7,4.7
Ninja Forms &#8211; The Easy and Powerful Forms Builder,ninja-forms,25.119999999999997,13.82,1000000,0,0,6.9,994,4.4,4.4
WPS Hide Login,wps-hide-login,24.78,12.9,400000,0,0,6.98,1070,4.9,4.9
MetaSlider,ml-slider,24.7,13.71,900000,0,0,6.29,538,4.7,4.7
AddToAny Share Buttons,add-to-any,24.54,13.12,500000,0,0,6.72,829,4.7,4.7
Ad Inserter &#8211; Ad Manager &amp; AdSense Ads,ad-inserter,24.050000000000004,12.21,200000,0,0,6.94,1035,4.9,4.9
Custom Feeds for Facebook,custom-facebook-feed,24.05,12.21,200000,0,0,7.04,1143,4.8,4.8
Better Search Replace,better-search-replace,23.85,13.46,700000,0,0,5.79,328,4.6,4.6
WordPress Importer,wordpress-importer,23.84,15.2,4000000,0,0,5.64,281,3.0,3.0
Custom Sidebars &#8211; Dynamic Widget Area Manager,custom-sidebars,23.82,12.21,200000,0,0,6.91,1002,4.7,4.7
Disable Gutenberg,disable-gutenberg,23.65,12.61,300000,0,0,6.04,421,5.0,5.0
Broken Link Checker,broken-link-checker,23.53,13.46,700000,0,0,5.87,354,4.2,4.2
Custom Post Type UI,custom-post-type-ui,23.44,13.46,700000,0,0,5.28,196,4.7,4.7
Admin Columns,codepress-admin-columns,23.439999999999998,11.51,100000,0,0,7.03,1135,4.9,4.9
Redux Framework,redux-framework,23.39,13.59,800000,0,0,5.2,182,4.6,4.6
Widget Options,widget-options,23.380000000000003,11.41,90000,0,0,7.07,1176,4.9,4.9
Essential Addons for Elementor,essential-addons-for-elementor-lite,23.35,12.21,200000,0,0,6.34,567,4.8,4.8
Import any XML or CSV File to WordPress,wp-all-import,23.34,11.51,100000,0,0,7.13,1249,4.7,4.7
WooCommerce PDF Invoices &amp; Packing Slips,woocommerce-pdf-invoices-packing-slips,23.11,11.51,100000,0,0,6.6,736,5.0,5.0
"Contact Forms, Surveys &amp; Quiz Forms Plugin by Formidable Forms Builder for WordPress",formidable,22.93,12.21,200000,0,0,6.12,456,4.6,4.6
Velvet Blues Update URLs,velvet-blues-update-urls,22.74,12.61,300000,0,0,5.43,228,4.7,4.7
Caldera Forms &#8211; More Than Contact Forms,caldera-forms,22.61,12.21,200000,0,0,5.9,365,4.5,4.5
Form Maker by 10Web &#8211; Mobile-Friendly Drag &amp; Drop Contact Form Builder,form-maker,22.54,11.51,100000,0,0,6.53,688,4.5,4.5
Ultimate Member &#8211; User Profile &amp; Membership Plugin,ultimate-member,22.46,11.51,100000,0,0,6.65,771,4.3,4.3
Meta Box &#8211; WordPress Custom Fields Framework,meta-box,22.42,12.9,400000,0,0,4.62,102,4.9,4.9
WP Live Chat Support,wp-live-chat-support,22.169999999999998,10.82,50000,0,0,6.65,774,4.7,4.7
Easy Forms for Mailchimp,yikes-inc-easy-mailchimp-extender,22.099999999999998,11.51,100000,0,0,5.89,361,4.7,4.7
Simple History,simple-history,21.939999999999998,11.51,100000,0,0,5.53,252,4.9,4.9
Content Views &#8211; Post Grid &amp; List for WordPress,content-views-query-and-display-post-page,21.89,11.51,100000,0,0,5.58,265,4.8,4.8
SEOPress,wp-seopress,21.869999999999997,11.0,60000,0,0,5.97,392,4.9,4.9
User Registration &amp; User Profile &#8211; Profile Builder,profile-builder,21.73,10.82,50000,0,0,6.21,497,4.7,4.7
Admin Custom Login,admin-custom-login,21.72,11.16,70000,0,0,5.86,351,4.7,4.7
WP Security Audit Log,wp-security-audit-log,21.69,11.41,90000,0,0,5.48,239,4.8,4.8
Relevanssi &#8211; A Better Search,relevanssi,21.66,11.51,100000,0,0,5.45,233,4.7,4.7
Give &#8211; Donation Plugin and Fundraising Platform,give,21.64,11.0,60000,0,0,5.84,343,4.8,4.8
Pods &#8211; Custom Content Types and Fields,pods,21.630000000000003,11.16,70000,0,0,5.57,262,4.9,4.9
List category posts,list-category-posts,21.63,11.51,100000,0,0,5.42,226,4.7,4.7
Code Snippets,code-snippets,21.57,11.51,100000,0,0,5.26,193,4.8,4.8
Calculated Fields Form,calculated-fields-form,21.55,10.6,40000,0,0,6.15,467,4.8,4.8
User Submitted Posts,user-submitted-posts,21.5,10.31,30000,0,0,6.39,596,4.8,4.8
Events Manager,events-manager,21.5,11.51,100000,0,0,5.69,297,4.3,4.3
NextScripts: Social Networks Auto-Poster,social-networks-auto-poster-facebook-twitter-g,21.45,11.51,100000,0,0,6.24,511,3.7,3.7
Optimize Database after Deleting Revisions,rvg-optimize-database,21.42,11.51,100000,0,0,5.11,165,4.8,4.8
