title,slug,active_installs,relevance
Video Gallery &#8211; YouTube Gallery,gallery-videos,10000,1
Video Slider &#8211; Slider Carousel,slider-video,7000,1
"GridKit Portfolio Gallery &#8211; Multipurpose portfolio, gallery, video gallery, product catalog, gallery slider",portfolio-wp,10000,1
FV Flowplayer Video Player,fv-wordpress-flowplayer,40000,1
Yoast SEO,wordpress-seo,5000000,0
Video Embed &amp; Thumbnail Generator,video-embed-thumbnail-generator,30000,1
Smart Slider 3,smart-slider-3,400000,0
"Video Gallery &#8211; YouTube Playlist, Channel Gallery by YotuWP",yotuwp-easy-youtube-embed,10000,1
WP Video Lightbox,wp-video-lightbox,70000,1
WP Video Popup – Responsive YouTube &amp; Vimeo Video Lightbox,responsive-youtube-vimeo-popup,8000,1
"WordPress Photo Gallery &#8211; Multipurpose Portfolio, Image Gallery &amp; Video Gallery",photo-gallery-portfolio,600,1
Jetpack by WordPress.com,jetpack,5000000,0
Easy Video Player,easy-video-player,40000,1
BackWPup &#8211; WordPress Backup Plugin,backwpup,600000,0
Photo Gallery by 10Web &#8211; Mobile-Friendly Image Gallery,photo-gallery,300000,0
All-in-One Video Gallery,all-in-one-video-gallery,6000,1
Video Background,video-background,20000,1
"ARVE Advanced Responsive Video Embedder (YouTube, Vimeo, HTML5 Video &#8230;)",advanced-responsive-video-embedder,60000,1
Shortcodes Ultimate,shortcodes-ultimate,800000,0
YouTube,youtube-embed-plus,200000,0
Elementor Page Builder,elementor,2000000,0
SiteOrigin Widgets Bundle,so-widgets-bundle,1000000,0
Vimeotheque &#8211; WordPress Vimeo videos,codeflavors-vimeo-video-post-lite,7000,1
Wonder Video Embed,wonderplugin-video-embed,6000,1
"Slider Hero with Animation, Video Background &amp; Intro Maker",slider-hero,2000,1
MetaSlider,ml-slider,900000,0
Video User Manuals,video-user-manuals,30000,1
Video Sidebar Widgets,video-sidebar-widgets,10000,1
GT3 Photo Gallery / Video Gallery / Gutenberg Gallery Block,gt3-photo-video-gallery,9000,1
Video PopUp,video-popup,10000,1
Image Gallery by Robo – Responsive Photo Gallery,robo-gallery,40000,0
Flowplayer Video Player,flowplayer6-video-player,3000,1
WP Photo Album Plus,wp-photo-album-plus,20000,0
Spider Video Player,player,10000,1
Html5 Video Player,html5-video-player,3000,1
Vimeography: Vimeo Video Gallery WordPress Plugin,vimeography,10000,1
Video gallery and Player,html5-videogallery-plus-player,4000,1
Photo Video Gallery Master,photo-video-gallery-master,7000,1
mb.YTPlayer for background videos,wpmbytplayer,6000,1
HDW Player Plugin (Video Player &amp; Video Gallery),hdw-player-video-player-video-gallery,2000,1
YITH WooCommerce Featured Video,yith-woocommerce-featured-video,7000,1
Lazy Load for Videos,lazy-load-for-videos,8000,1
YouTube Gallery &#8211; Best YouTube Video Gallery for WordPress,youtube-showcase,6000,1
"Photonic Gallery &amp; Lightbox for Flickr, SmugMug, Google Photos, Zenfolio and Instagram",photonic,10000,0
"Video Gallery &#8211; YouTube and Vimeo, Link Gallery",new-video-gallery,1000,1
Video Grid,video-grid,2000,1
FooGallery &#8211; Image Gallery WordPress Plugin,foogallery,100000,0
CP Media Player &#8211; Audio Player and Video Player,audio-and-video-player,4000,1
Responsive Video Light,responsive-video-light,3000,1
Meks Video Importer,meks-video-importer,3000,1
All-in-One WP Migration,all-in-one-wp-migration,2000000,0
Seriously Simple Podcasting,seriously-simple-podcasting,20000,0
Gallery Plugin for WordPress &#8211; Envira Photo Gallery,envira-gallery-lite,100000,0
WordPress Featured Video &#8211; VideographyWP,videographywp,900,1
Video Gallery by Huzzaz,huzzaz-video-gallery,3000,1
Related YouTube Videos,related-youtube-videos,5000,1
Duplicator &#8211; WordPress Migration Plugin,duplicator,1000000,0
"Post video players, slideshow albums, photo galleries and music / podcast playlist",video-playlist-and-gallery-plugin,8000,1
"Feed Them Social &#8211; Facebook, Instagram, Twitter, YouTube &amp; Pinterest",feed-them-social,70000,0
WooCommerce HTML5 Video,woocommerce-html5-video,2000,1
AMP for WP &#8211; Accelerated Mobile Pages,accelerated-mobile-pages,100000,0
"EmbedPress – Embed Google Docs, Vimeo and Wistia videos, Giphy and Imgur photos, and more",embedpress,6000,1
Slider by 10Web &#8211; Responsive Image Slider,slider-wd,60000,0
Video Conferencing with Zoom API,video-conferencing-with-zoom-api,1000,1
Slider by Soliloquy &#8211; Responsive Image Slider for WordPress,soliloquy-lite,80000,0
Videojs HTML5 Player,videojs-html5-player,10000,1
oEmbed External Video,oembed-external-video,700,1
WP RSS Aggregator,wp-rss-aggregator,60000,0
Video Slider With Thumbnail,video-slider-with-thumbnails,500,1
Easy Support Videos &#8211; Embed videos in the admin,easy-support-videos,500,1
"Broadcast Live Video &#8211; Live Streaming : HTML5, WebRTC, HLS, RTSP, RTMP",videowhisper-live-streaming-integration,3000,1
WooCommerce PPOM,woocommerce-product-addon,10000,0
Lazy Load by WP Rocket,rocket-lazy-load,60000,0
PowerPress Podcasting plugin by Blubrry,powerpress,60000,0
Responsive videos &#8211; Fitvids,responsive-videos-fitvids,1000,1
CMP &#8211; Coming Soon &amp; Maintenance Plugin by NiteoThemes,cmp-coming-soon-maintenance,50000,0
Master Slider &#8211; Responsive Touch Slider,master-slider,100000,0
Video Share VOD &#8211; Turnkey Video Site Builder,video-share-vod,700,1
"Photo Video Link Gallery &#8211; Images Gallery, YouTube Video Gallery, Light-box Gallery",photo-video-link-gallery,1000,1
Genesis Featured Video,featured-videos-for-genesis,600,1
"Easy Lightbox &#8211; Best Image, Gallery and Video Lightbox for WordPress",easy-lightbox-wp,2000,1
Video Lessons Manager,cm-video-lesson-manager,200,1
Custom Feeds for Instagram,instagram-feed,800000,0
MailPoet &#8211; emails and newsletters in WordPress,mailpoet,100000,0
video carousel slider with lightbox,wp-responsive-video-gallery-with-lightbox,1000,1
Paid Memberships Pro,paid-memberships-pro,80000,0
Photo Gallery &#8211; Image Gallery by Ape,gallery-images-ape,6000,0
Media Slider &#8211; Image Video Carousal Link Slideshow,media-slider,1000,1
WP YouTube Lyte,wp-youtube-lyte,20000,0
Ductile Responsive Video,ductile-responsive-video,400,1
WP Video Gallery,wp-video-gallery-free,1000,1
Super Video Player &#8211; Best wordpress video player,super-video-player,300,1
Brightcove Video Connect,brightcove-video-connect,1000,1
Video Dashboard,video-dashboard,800,1
Embed Video Thumbnail,embed-video-thumbnail,800,1
WordPress Page Builder &#8211; Beaver Builder,beaver-builder-lite-version,500000,0
Switch Video Quality,switch-video-quality,300,1
Livemesh Addons for Elementor,addons-for-elementor,60000,0
Coming Soon Page &amp; Maintenance Mode by SeedProd,coming-soon,900000,0
Interactive Content – H5P,h5p,10000,0
Image and video gallery from Google Drive,skaut-google-drive-gallery,1000,1
VideoWhisper Video Presentation,videowhisper-video-presentation,200,1
SEOPress,wp-seopress,60000,0
Stackable &#8211; Gutenberg Blocks,stackable-ultimate-gutenberg-blocks,10000,0
"Image and Video Lightbox, Lightbox PopUp",lightbox-popup,3000,1
Brid Video Easy Publish,brid-video-easy-publish,300,1
Porn Videos Embed,porn-videos-embed,400,1
"Popup Maker &#8211; Popup Forms, Optins &amp; More",popup-maker,300000,0
Advanced Classifieds &amp; Directory Pro,advanced-classifieds-and-directory-pro,4000,0
Postie,postie,20000,0
Insert Pages,insert-pages,30000,0
Import any XML or CSV File to WordPress,wp-all-import,100000,0
10Web Social Feed for Instagram,wd-instagram-feed,80000,0
Product Catalog,ultimate-product-catalogue,10000,0
"WPSSO Core &#8211; Advanced Open Graph, Rich Pin, Twitter Card, Social Meta Tags, SEO Rich Results, Schema Markup",wpsso,10000,0
The Events Calendar,the-events-calendar,700000,0
GDPR Cookie Compliance,gdpr-cookie-compliance,70000,0
"WpDevArt YouTube Embed, Playlist and Popup",youtube-video-player,10000,0
Webcam Video Conference,videowhisper-video-conference-integration,700,1
BulletProof Security,bulletproof-security,70000,0
Tinychat Video Chat,tc-video-chat,70,1
Slide Anything &#8211; Responsive Content / HTML Slider and Carousel,slide-anything,70000,0
Clappr Video Player,embed-clappr,400,1
Kadence WooCommerce Email Designer,kadence-woocommerce-email-designer,10000,0
S3Bubble WordPress Video Streaming,s3bubble-amazon-web-services-oembed-media-streaming-support,400,1
CyberSEO Lite (CyberSyn),cybersyn,10000,0
YourChannel: Everything you want in a YouTube plugin.,yourchannel,10000,0
Automatic Youtube Video Posts Plugin,automatic-youtube-video-posts,3000,1
"PixelYourSite &#8211; Facebook Pixel, Google Analytics, Head &amp; Footer (WooCommerce, EDD, Events)",pixelyoursite,100000,0
Google Maps Easy,google-maps-easy,50000,0
Smartideo,smartideo,5000,0
10Web YouTube &#8211; Youtube Player and Gallery,wd-youtube,4000,0
MediaElement.js &#8211; HTML5 Video &amp; Audio Player,media-element-html5-video-and-audio-player,20000,1
Carousel Slider,carousel-slider,40000,0
Advanced Gutenberg,advanced-gutenberg,10000,0
10Web Social Feed for Facebook,wd-facebook-feed,40000,0
Responsive Poll,poll-wp,5000,0
Smart Forms &#8211; when you need more than just a contact form,smart-forms,10000,0
WP Post And Widget For Instagram,wp-instagram-post,5000,0
Algori 360 Video,360-video,200,1
Related Video Widget For Post From Youtube,tube-video-widget-using-post-meta,70,1
